RefurbisherID,Company Name,Info,Status,Type,Address,District,State
56289,SPC INTERNATIONAL (INDIA) PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"NO 4/11, NEAR OXFORD COLLEGE, HOSUR ROAD, BOMMANAHALLI, Bengaluru (Bangalore) Urban, Karnataka, 560068  Bengaluru",Bangalore,KARNATAKA
37131,SRIRAM ECO RAKSHA COMPUTER SERVICE PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"Shed No B29, KSSIDC Industrial Estate, BOMMASANDRA-I INDL ESTATE, Hosur Road Anekal-Attibele Hobli, Bommasandra, Bangalore Urban BENGALURU",Bangalore,KARNATAKA
2758903,TAJ COMPUTER SOLUTIONS PRIVATE LIMITED,Refurbisher,Pending for approval at CPCB Authority,Amendment,"154/1/3, 1ST MAIN ROAD PEENYA 3RD PHASE BANGLORE",Bangalore,KARNATAKA
42669,TAJ COMPUTER SOLUTIONS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"B-II/28, Mohan Cooperative Industrial Area, Badarpur, New Delhi, Delhi, 110044 New Delhi",South Delhi,DELHI
1887515,TECHCHEF EWASTE SOLUTIONS PRIVATE LIMITED,Refurbisher,Pending for approval at CPCB Authority,Amendment,"C-61, THIRD FLOOR, DDA SHED, OKHLA INDUSTRIAL AREA, PHASE-I, DELHI-110020  DELHI",South East Delhi,DELHI
15,Terranova Eco Management Private Limited,Refurbisher,Pending at CPCB,Amendment,"Plot No.10, Vaishnodev Lush Greens, Industrial Estate, Gerupalya, Kumbalagodu Industrial Area Bengaluru",Bangalore,KARNATAKA
544898,TES-AMM (INDIA) PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"Survey No.118, Site No.8, Mookambika Temple Road, Magadi Main Road Mochohalli Forest Gate, Bengaluru Bangalore",Bangalore,KARNATAKA
13627,THARANI ELECTRONICS WASTE,Refurbisher,Pending at applicant,Amendment,"S.F.No 381/2 pt, Site No 40, CODEA Industrial Estate, Sarcarsamakulam  Coimbatore",Coimbatore,TAMIL NADU
12782,Trishulin Enterprises,Refurbisher,Pending at applicant,Amendment,"Servey no. 905/1 Plot no. 42, Musalgaon Sinnar",Nashik,MAHARASHTRA
38027,Trishyiraya Recycling India Private Limited,Refurbisher,Approved by CPCB Authority,Amendment,"Shed no10,SW-51,, Apprl Park, Phase-2, DITPL, KIADB ind area, Doddaballapura Dod Ballapur, Bangalore Rural Bengaluru rural",Bangalore Rural,KARNATAKA
35738,vivo Mobile India Pvt Ltd,Refurbisher,Approved by CPCB Authority,Amendment,"vivo Mobiile India Pvt. Ltd Plot No 08, Sector 24, Yamuna Expressway Area, Gautam Buddha Nagar Yamuna Expressway Area, Greater Noida",Gautam Buddha Nagar,UTTAR PRADESH
2695406,West Land Gadgetry LLP,Refurbisher,Pending at CPCB,Amendment,"Survey No. 206,Plot no.5/6 Village Zak Gandhinagar",Gandhi Nagar,GUJARAT
39741,Wipro GE Healthcare Pvt. Ltd,Refurbisher,Pending at applicant,Amendment,"122 (Part 1) EPIP, Whitefield, Bangalore  Bangalore",Bangalore,KARNATAKA
34306,WONDER PRINT TECHNOLOGIES,Refurbisher,Pending at applicant,Amendment,"H-3/16, MIDC, Ambad, Nashik  Nashik",Nashik,MAHARASHTRA
574530,YAANTRA,Refurbisher,Pending at applicant,Amendment,"First Floor, Second Floor, Plot no A-47, Sector - 58 Noida, Gautam Buddha Nagar Noida",Gautam Buddha Nagar,UTTAR PRADESH
